Grid ID,Min Lat,Max Lat,Min Long,Max Long,NAMELSAD,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,total_population,"Ride Count (Average, NYC Norm)","Ride Count (Model 1, NYC Norm)","Ride Count (Model 2, NYC Norm)","Ride Count (Average, ATL Norm)","Ride Count (Model 1, ATL Norm)","Ride Count (Model 2, ATL Norm)"
72,33.70553191,33.70829787,-84.42181818,-84.41818182,0,103412.3808,0,0.039936046,0,109.0821798,25387.023,31870.145,18903.902,24440.836,520.309755469084,25579.5346971097
73,33.70553191,33.70829787,-84.41818182,-84.41454545,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,520.309755469084,25579.5346971097
74,33.70553191,33.70829787,-84.41454545,-84.41090909,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,35914.1099674965,25579.5346971097
75,33.70553191,33.70829787,-84.41090909,-84.40727273,0,103401.5051,11.34413342,0.039921215,0.00000498,114.7630468,24609.234,30468.11,18750.361,27412.766,35914.1099674965,25579.5346971097
76,33.70553191,33.70829787,-84.40727273,-84.40363636,0,103398.8874,15.18361731,0.03991972,0.00000667,114.2684251,24577.746,30407.613,18747.877,27060.117,35914.1099674965,25579.5346971097
77,33.70553191,33.70829787,-84.40363636,-84.4,0,103411.6503,0,0.03995441,0,223.4297732,24390.203,30358.555,18421.854,27050.89,35914.1099674965,25579.5346971097
78,33.70553191,33.70829787,-84.4,-84.39636364,0,103004.1846,410.289145,0.03978663,0.000161621,186.6131052,24199.168,29976.482,18421.854,28354.037,35914.1099674965,25579.5346971097
79,33.70553191,33.70829787,-84.39636364,-84.39272727,0,102247.7358,1171.167109,0.039465867,0.000461347,82.53153842,24227.363,29803.705,18651.02,17057.54,35914.1099674965,25579.5346971097
80,33.70553191,33.70829787,-84.39272727,-84.38909091,0,103120.4474,293.3838746,0.03984802,0.00011557,263.6878956,33070.996,48605.96,17536.03,34838.79,35914.1099674965,25579.5346971097
81,33.70553191,33.70829787,-84.38909091,-84.38545455,0,102555.8368,861.2770719,0.039601232,0.000339275,148.7632437,26119.309,33816.76,18421.854,26994.746,35914.1099674965,25579.5346971097
82,33.70553191,33.70829787,-84.38545455,-84.38181818,0,102193.158,1226.064496,0.039442708,0.000482972,74.94114474,24342.857,30002.738,18682.977,17869.48,35914.1099674965,25579.5346971097
83,33.70553191,33.70829787,-84.38181818,-84.37818182,0,102193.158,1226.064496,0.039442708,0.000482972,74.94114474,24342.857,30002.738,18682.977,17869.48,35914.1099674965,25579.5346971097
84,33.70553191,33.70829787,-84.37818182,-84.37454545,0,102671.5462,754.2326606,0.039629981,0.000294827,71.67344409,24324.482,29931.46,18717.504,23159.984,35914.1099674965,25579.5346971097
85,33.70553191,33.70829787,-84.37454545,-84.37090909,0,103241.0958,192.4887571,0.03985294,0.0000708,67.78305184,24521.568,30284.44,18758.697,26340.475,35914.1099674965,25579.5346971097
86,33.70553191,33.70829787,-84.37090909,-84.36727273,0,103287.2457,141.0114975,0.039869925,0.0000519,49.65583334,24583.363,30404.162,18762.562,30225.969,35914.1099674965,25579.5346971097
87,33.70553191,33.70829787,-84.36727273,-84.36363636,0,103415.8504,0,0.03991023,0,59.30246125,27637.363,36722.504,18552.22,48612.652,20803.0421072444,25579.5346971097
88,33.70553191,33.70829787,-84.36363636,-84.36,0,103420.7519,0,0.039896282,0,192.2597638,47383.46,77191.375,17575.545,10303.822,24881.4727816554,25579.5346971097
89,33.70553191,33.70829787,-84.36,-84.35636364,0,103423.2634,0,0.039910203,0,170.9710894,39258.055,60302.184,18213.926,13730.341,520.309755469084,25579.5346971097
90,33.70553191,33.70829787,-84.35636364,-84.35272727,0,103429.7335,0,0.039950307,0,98.12353191,24074.418,29523.998,18624.836,21551.36,16071.6788134517,25579.5346971097
91,33.70553191,33.70829787,-84.35272727,-84.34909091,0,103353.0707,77.01650604,0.039919895,0.0000294,85.21016663,24178.035,29698.184,18657.887,24374.373,35914.1099674965,25579.5346971097
92,33.70553191,33.70829787,-84.34909091,-84.34545455,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
93,33.70553191,33.70829787,-84.34545455,-84.34181818,0,102760.683,667.574504,0.039676746,0.0002542,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
94,33.70553191,33.70829787,-84.34181818,-84.33818182,0,102762.2912,658.4803824,0.039675816,0.000249183,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
95,33.70553191,33.70829787,-84.33818182,-84.33454545,0,102764.4152,646.4687885,0.039674587,0.000242555,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
96,33.70553191,33.70829787,-84.33454545,-84.33090909,0,102765.693,639.2427966,0.039673849,0.000238568,0,24848.613,30924.088,18773.14,52399.246,15348.0859314929,25579.5346971097
97,33.70553191,33.70829787,-84.33090909,-84.32727273,0,102764.5904,645.4782895,0.039674486,0.000242008,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
98,33.70553191,33.70829787,-84.32727273,-84.32363636,0,102760.0334,671.2484853,0.039677122,0.000256227,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
99,33.70553191,33.70829787,-84.32363636,-84.32,0,102929.24,497.7881336,0.039744699,0.000190953,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
100,33.70829787,33.71106383,-84.44,-84.43636364,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,35914.1099674965,25579.5346971097
101,33.70829787,33.71106383,-84.43636364,-84.43272727,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,35914.1099674965,25579.5346971097
102,33.70829787,33.71106383,-84.43272727,-84.42909091,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,35914.1099674965,25579.5346971097
103,33.70829787,33.71106383,-84.42909091,-84.42545455,0,103414.9155,0,0.039928187,0,118.2193065,24611.742,30326.377,18897.107,17891.797,35914.1099674965,25579.5346971097
104,33.70829787,33.71106383,-84.42545455,-84.42181818,0,103412.4021,0,0.039936116,0,109.0336383,25398.023,31890.18,18905.867,24559.512,35914.1099674965,25579.5346971097
105,33.70829787,33.71106383,-84.42181818,-84.41818182,0,103412.3986,0,0.039936105,0,109.0416519,25396.203,31886.865,18905.543,24539.86,35914.1099674965,25579.5346971097
106,33.70829787,33.71106383,-84.41818182,-84.41454545,0,103409.2432,0,0.039925644,0,116.2159453,24744.219,30730.723,18757.713,28581.842,35914.1099674965,25579.5346971097
107,33.70829787,33.71106383,-84.41454545,-84.41090909,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,35914.1099674965,25579.5346971097
108,33.70829787,33.71106383,-84.41090909,-84.40727273,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,35914.1099674965,25579.5346971097
109,33.70829787,33.71106383,-84.40727273,-84.40363636,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,35914.1099674965,25579.5346971097
110,33.70829787,33.71106383,-84.40363636,-84.4,0,103410.8569,0,0.039944939,0,188.148851,24393.39,30364.926,18421.854,25500.88,35914.1099674965,25579.5346971097
111,33.70829787,33.71106383,-84.4,-84.39636364,0,103412.0853,0,0.039959604,0,242.777824,24485.854,30529.162,18442.545,25165.896,20803.0421072444,25579.5346971097
112,33.70829787,33.71106383,-84.39636364,-84.39272727,0,103329.2333,83.34697514,0.039927569,0.0000328,247.0265296,24789.684,31157.512,18421.854,27664.84,24881.4727816554,25579.5346971097
113,33.70829787,33.71106383,-84.39272727,-84.38909091,0,103412.1354,0,0.039975515,0,323.0600449,36015.035,53975.504,18054.568,33152.074,520.309755469084,25579.5346971097
114,33.70829787,33.71106383,-84.38909091,-84.38545455,0,102469.9953,947.617601,0.039563712,0.000373286,131.2904947,24917.684,31413.514,18421.854,23638.379,16071.6788134517,25579.5346971097
115,33.70829787,33.71106383,-84.38545455,-84.38181818,0,102193.158,1226.064496,0.039442708,0.000482972,74.94114474,24342.857,30002.738,18682.977,17869.48,35914.1099674965,25579.5346971097
116,33.70829787,33.71106383,-84.38181818,-84.37818182,0,102193.158,1226.064496,0.039442708,0.000482972,74.94114474,24342.857,30002.738,18682.977,17869.48,35914.1099674965,25579.5346971097
117,33.70829787,33.71106383,-84.37818182,-84.37454545,0,102273.3746,1144.823126,0.039474271,0.000450969,74.89410682,24333.602,29977.082,18690.123,19160.766,35914.1099674965,25579.5346971097
118,33.70829787,33.71106383,-84.37454545,-84.37090909,0,103242.553,178.3071744,0.039851838,0.0000684,37.69810516,24538.73,30316.168,18761.291,32749.451,35914.1099674965,25579.5346971097
119,33.70829787,33.71106383,-84.37090909,-84.36727273,0,103405.8117,8.758928779,0.039913562,0.00000322,3.084371952,24829.781,30887.068,18772.496,50801.965,35914.1099674965,25579.5346971097
120,33.70829787,33.71106383,-84.36727273,-84.36363636,0,103413.6642,0,0.039916452,0,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
