GEO_ID,NAME,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,INTPTLAT,INTPTLON
1400000US13021013408,Census Tract 134.08; Bibb County; Georgia,8967620,22003,3.462,0.008,32.9061383,-83.7280424
1400000US13021013409,Census Tract 134.09; Bibb County; Georgia,12614490,573968,4.87,0.222,32.8782504,-83.7919719
1400000US13021013411,Census Tract 134.11; Bibb County; Georgia,17953823,380236,6.932,0.147,32.9279788,-83.723857
1400000US13021013412,Census Tract 134.12; Bibb County; Georgia,14410060,115161,5.564,0.044,32.8711463,-83.7363189
1400000US13021013413,Census Tract 134.13; Bibb County; Georgia,10972776,102721,4.237,0.04,32.9012985,-83.7707663
1400000US13021013502,Census Tract 135.02; Bibb County; Georgia,56612211,870396,21.858,0.336,32.7068119,-83.6315448
1400000US13021013503,Census Tract 135.03; Bibb County; Georgia,14012829,56449,5.41,0.022,32.7534407,-83.6987377
1400000US13021013505,Census Tract 135.05; Bibb County; Georgia,12502446,12466,4.827,0.005,32.7233543,-83.6986289
1400000US13021013506,Census Tract 135.06; Bibb County; Georgia,22542731,247385,8.704,0.096,32.7126113,-83.6923538
1400000US13021013603,Census Tract 136.03; Bibb County; Georgia,45538059,145826,17.582,0.056,32.7607529,-83.7301667
1400000US13021013604,Census Tract 136.04; Bibb County; Georgia,67426404,422446,26.033,0.163,32.7730825,-83.7972428
1400000US13021013605,Census Tract 136.05; Bibb County; Georgia,19797814,336707,7.644,0.13,32.8708555,-83.8090003
1400000US13021013607,Census Tract 136.07; Bibb County; Georgia,52290910,3888061,20.19,1.501,32.8427373,-83.8399918
1400000US13021013608,Census Tract 136.08; Bibb County; Georgia,20758864,3117538,8.015,1.204,32.8200116,-83.7783779
1400000US13021013701,Census Tract 137.01; Bibb County; Georgia,2276768,49917,0.879,0.019,32.8327518,-83.6316288
1400000US13021013702,Census Tract 137.02; Bibb County; Georgia,903168,0,0.349,0,32.8330785,-83.6441033
1400000US13021013800,Census Tract 138; Bibb County; Georgia,4458492,185568,1.721,0.072,32.8434805,-83.6107791
