Grid ID,Min Lat,Max Lat,Min Long,Max Long
3254,40.78689872,40.78965992,-74.02762461,-74.02405193
3255,40.78689872,40.78965992,-74.02405193,-74.02047925
3256,40.78689872,40.78965992,-74.02047925,-74.01690657
3257,40.78689872,40.78965992,-74.01690657,-74.01333389
3258,40.78689872,40.78965992,-74.01333389,-74.00976121
3259,40.78689872,40.78965992,-74.00976121,-74.00618854
3260,40.78689872,40.78965992,-74.00618854,-74.00261586
3261,40.78689872,40.78965992,-74.00261586,-73.99904318
3262,40.78689872,40.78965992,-73.99904318,-73.9954705
3263,40.78689872,40.78965992,-73.9954705,-73.99189782
3264,40.78689872,40.78965992,-73.99189782,-73.98832514
3265,40.78689872,40.78965992,-73.98832514,-73.98475246
3266,40.78689872,40.78965992,-73.98475246,-73.98117979
3267,40.78689872,40.78965992,-73.98117979,-73.97760711
3268,40.78689872,40.78965992,-73.97760711,-73.97403443
3269,40.78689872,40.78965992,-73.97403443,-73.97046175
3270,40.78689872,40.78965992,-73.97046175,-73.96688907
3271,40.78689872,40.78965992,-73.96688907,-73.96331639
3272,40.78689872,40.78965992,-73.96331639,-73.95974371
3273,40.78689872,40.78965992,-73.95974371,-73.95617104
3274,40.78689872,40.78965992,-73.95617104,-73.95259836
3275,40.78689872,40.78965992,-73.95259836,-73.94902568
3276,40.78689872,40.78965992,-73.94902568,-73.945453
3277,40.78689872,40.78965992,-73.945453,-73.94188032
3278,40.78689872,40.78965992,-73.94188032,-73.93830764
3279,40.78689872,40.78965992,-73.93830764,-73.93473496
3280,40.78689872,40.78965992,-73.93473496,-73.93116229
3281,40.78689872,40.78965992,-73.93116229,-73.92758961
3282,40.78689872,40.78965992,-73.92758961,-73.92401693
3283,40.78689872,40.78965992,-73.92401693,-73.92044425
3284,40.78689872,40.78965992,-73.92044425,-73.91687157
3285,40.78689872,40.78965992,-73.91687157,-73.91329889
3286,40.78689872,40.78965992,-73.91329889,-73.90972621
3287,40.78689872,40.78965992,-73.90972621,-73.90615354
3288,40.78689872,40.78965992,-73.90615354,-73.90258086
3289,40.78689872,40.78965992,-73.90258086,-73.89900818
3290,40.78689872,40.78965992,-73.89900818,-73.8954355
3291,40.78689872,40.78965992,-73.8954355,-73.89186282
3292,40.78689872,40.78965992,-73.89186282,-73.88829014
3293,40.78689872,40.78965992,-73.88829014,-73.88471746
3294,40.78689872,40.78965992,-73.88471746,-73.88114479
3295,40.78689872,40.78965992,-73.88114479,-73.87757211
3296,40.78689872,40.78965992,-73.87757211,-73.87399943
3297,40.78689872,40.78965992,-73.87399943,-73.87042675
3298,40.78689872,40.78965992,-73.87042675,-73.86685407
3299,40.78689872,40.78965992,-73.86685407,-73.86328139
