date,station,lon,lat,tmpf,relh,sped,vsby
2019-09-04,jrb,-74.009,40.7012,68.4,72.61717391304347,7.55,9.869565217391305
2019-09-04,nyc,-73.9693,40.779,74.30344827586208,74.41137931034483,3.410344827586207,10.0
2019-09-05,jrb,-74.009,40.7012,66.65853658536585,64.6909756097561,7.096341463414634,9.682926829268293
2019-09-05,nyc,-73.9693,40.779,71.04166666666667,58.64083333333334,5.079166666666667,10.0
2019-09-06,jrb,-74.009,40.7012,60.67524752475247,74.08366336633664,14.71089108910891,6.955445544554456
2019-09-06,nyc,-73.9693,40.779,63.87179487179487,80.40769230769232,8.551282051282051,7.737179487179487
2019-09-07,jrb,-74.009,40.7012,62.148148148148145,70.16425925925925,5.025925925925925,9.666666666666666
2019-09-07,nyc,-73.9693,40.779,63.266666666666666,72.066,5.673333333333333,9.666666666666666
2019-09-08,jrb,-74.009,40.7012,68.76666666666667,63.84533333333333,4.446666666666667,10.0
2019-09-08,nyc,-73.9693,40.779,68.63636363636364,61.51318181818181,2.3000000000000003,10.0
2019-09-09,jrb,-74.009,40.7012,67.13888888888889,67.8736111111111,8.433333333333334,9.86111111111111
2019-09-09,nyc,-73.9693,40.779,70.54166666666667,63.28458333333333,4.983333333333333,10.0
2019-09-10,jrb,-74.009,40.7012,65.88571428571429,73.99571428571429,6.219387755102041,9.346938775510203
2019-09-10,nyc,-73.9693,40.779,70.48235294117647,81.54029411764705,1.961764705882353,9.617647058823529
2019-09-11,jrb,-74.009,40.7012,70.8736842105263,73.30684210526316,7.838157894736843,10.0
2019-09-11,nyc,-73.9693,40.779,76.17391304347827,72.63521739130434,5.55,10.0
2019-09-12,jrb,-74.009,40.7012,66.65,73.5240625,9.86484375,8.3359375
2019-09-12,nyc,-73.9693,40.779,74.59512195121951,79.60951219512195,4.880487804878048,7.487804878048781
2019-09-13,jrb,-74.009,40.7012,61.475,71.30265625,12.70390625,8.921875
2019-09-13,nyc,-73.9693,40.779,63.53333333333333,75.94636363636364,6.83030303030303,8.530303030303031
2019-09-14,jrb,-74.009,40.7012,64.4093023255814,70.81162790697675,7.140697674418605,9.44186046511628
2019-09-14,nyc,-73.9693,40.779,67.92,70.4404,3.404,10.0
2019-09-15,jrb,-74.009,40.7012,72.61714285714285,70.60657142857143,4.37,10.0
2019-09-15,nyc,-73.9693,40.779,74.47826086956522,65.16173913043478,2.7,9.956521739130435
2019-09-16,jrb,-74.009,40.7012,68.22857142857143,67.74514285714285,3.942857142857143,9.857142857142858
2019-09-16,nyc,-73.9693,40.779,72.96521739130435,63.313478260869566,1.7,10.0
2019-09-17,jrb,-74.009,40.7012,66.62380952380951,59.98571428571429,8.734523809523811,9.880952380952381
2019-09-17,nyc,-73.9693,40.779,69.5,48.535,5.989583333333333,10.0
2019-09-18,jrb,-74.009,40.7012,64.46153846153847,66.34820512820512,9.258974358974358,9.897435897435898
2019-09-18,nyc,-73.9693,40.779,64.03703703703704,60.635555555555555,5.451851851851853,10.0
2019-09-19,jrb,-74.009,40.7012,62.108108108108105,58.844054054054055,7.45945945945946,9.891891891891891
2019-09-19,nyc,-73.9693,40.779,60.583333333333336,46.77916666666667,3.689583333333333,10.0
2019-09-20,jrb,-74.009,40.7012,63.6578947368421,61.606842105263155,7.2328947368421055,9.763157894736842
2019-09-20,nyc,-73.9693,40.779,65.625,50.775416666666665,4.552083333333333,10.0
2019-09-21,jrb,-74.009,40.7012,68.90625,59.90625,4.959375,9.875
2019-09-21,nyc,-73.9693,40.779,71.83333333333333,48.51333333333333,2.6833333333333336,10.0
2019-09-22,jrb,-74.009,40.7012,70.96774193548387,66.65774193548387,5.156451612903226,9.96774193548387
2019-09-22,nyc,-73.9693,40.779,75.6923076923077,58.441538461538464,2.9192307692307695,9.615384615384615
2019-09-23,jrb,-74.009,40.7012,71.6969696969697,67.4669696969697,8.049999999999999,9.909090909090908
2019-09-23,nyc,-73.9693,40.779,78.66666666666667,62.43375,4.695833333333334,9.875
2019-09-24,jrb,-74.009,40.7012,66.83720930232558,63.5206976744186,6.793023255813954,9.837209302325581
2019-09-24,nyc,-73.9693,40.779,72.11111111111111,61.7637037037037,6.261111111111112,9.018518518518519
2019-09-25,jrb,-74.009,40.7012,66.66666666666667,59.32666666666667,4.704545454545454,9.909090909090908
2019-09-25,nyc,-73.9693,40.779,68.26086956521739,52.23478260869565,2.65,10.0
2019-09-26,jrb,-74.009,40.7012,66.19500000000001,69.63525,5.29,9.75
2019-09-26,nyc,-73.9693,40.779,70.54166666666667,64.4975,3.88125,9.75
2019-09-27,jrb,-74.009,40.7012,62.04761904761905,73.23380952380951,4.873809523809523,10.0
2019-09-27,nyc,-73.9693,40.779,66.28333333333333,62.68125,2.7312499999999997,10.0
2019-09-28,jrb,-74.009,40.7012,62.04761904761905,73.23380952380951,4.873809523809523,10.0
2019-09-28,nyc,-73.9693,40.779,71.875,67.89041666666667,3.30625,10.0
2019-09-29,jrb,-74.009,40.7012,62.04761904761905,73.23380952380951,4.873809523809523,10.0
2019-09-29,nyc,-73.9693,40.779,74.15652173913043,59.86869565217391,6.1000000000000005,10.0
2019-09-30,jrb,-74.009,40.7012,62.04761904761905,73.23380952380951,4.873809523809523,10.0
2019-09-30,nyc,-73.9693,40.779,64.86666666666667,54.84148148148148,6.431481481481482,10.0
2019-10-01,jrb,-74.009,40.7012,62.04761904761905,73.23380952380951,4.873809523809523,10.0
2019-10-01,nyc,-73.9693,40.779,69.7741935483871,66.02161290322582,2.9306451612903226,10.0
2019-10-02,jrb,-74.009,40.7012,62.04761904761905,73.23380952380951,4.873809523809523,10.0
2019-10-02,nyc,-73.9693,40.779,78.70833333333333,67.25958333333334,5.654166666666666,9.75
2019-10-03,jrb,-74.009,40.7012,62.04761904761905,73.23380952380951,4.873809523809523,10.0
2019-10-03,nyc,-73.9693,40.779,57.27547169811321,91.38830188679245,7.485849056603773,5.132075471698113
