station,date,lon,lat,weather_class
jrb,9/20/2019,-74.009,40.7012,good
jrb,9/20/2019,-74.009,40.7012,good
jrb,9/20/2019,-74.009,40.7012,good
nyc,9/20/2019,-73.9693,40.779,good
jrb,9/20/2019,-74.009,40.7012,good
jrb,9/20/2019,-74.009,40.7012,good
nyc,9/20/2019,-73.9693,40.779,good
jrb,9/20/2019,-74.009,40.7012,good
jrb,9/20/2019,-74.009,40.7012,good
nyc,9/20/2019,-73.9693,40.779,good
jrb,9/20/2019,-74.009,40.7012,good
jrb,9/20/2019,-74.009,40.7012,good
jrb,9/20/2019,-74.009,40.7012,good
nyc,9/20/2019,-73.9693,40.779,good
jrb,9/20/2019,-74.009,40.7012,good
nyc,9/20/2019,-73.9693,40.779,good
jrb,9/20/2019,-74.009,40.7012,good
nyc,9/20/2019,-73.9693,40.779,good
jrb,9/20/2019,-74.009,40.7012,good
jrb,9/20/2019,-74.009,40.7012,good
nyc,9/20/2019,-73.9693,40.779,good
jrb,9/20/2019,-74.009,40.7012,good
nyc,9/20/2019,-73.9693,40.779,good
jrb,9/20/2019,-74.009,40.7012,good
nyc,9/20/2019,-73.9693,40.779,good
jrb,9/20/2019,-74.009,40.7012,good
jrb,9/21/2019,-74.009,40.7012,good
jrb,9/21/2019,-74.009,40.7012,good
jrb,9/21/2019,-74.009,40.7012,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,bad
nyc,9/21/2019,-73.9693,40.779,bad
jrb,9/21/2019,-74.009,40.7012,bad
nyc,9/21/2019,-73.9693,40.779,bad
jrb,9/21/2019,-74.009,40.7012,bad
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
jrb,9/21/2019,-74.009,40.7012,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,bad
nyc,9/21/2019,-73.9693,40.779,bad
jrb,9/21/2019,-74.009,40.7012,bad
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,bad
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,bad
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
nyc,9/21/2019,-73.9693,40.779,good
jrb,9/21/2019,-74.009,40.7012,good
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,good
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,good
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,bad
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,good
jrb,9/22/2019,-74.009,40.7012,good
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,bad
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,good
nyc,9/22/2019,-73.9693,40.779,good
jrb,9/22/2019,-74.009,40.7012,good
jrb,9/23/2019,-74.009,40.7012,good
nyc,9/23/2019,-73.9693,40.779,good
jrb,9/23/2019,-74.009,40.7012,good
jrb,9/23/2019,-74.009,40.7012,good
jrb,9/23/2019,-74.009,40.7012,good
nyc,9/23/2019,-73.9693,40.779,good
jrb,9/23/2019,-74.009,40.7012,good
jrb,9/23/2019,-74.009,40.7012,good
nyc,9/23/2019,-73.9693,40.779,good
jrb,9/23/2019,-74.009,40.7012,good
nyc,9/23/2019,-73.9693,40.779,good
jrb,9/23/2019,-74.009,40.7012,bad
nyc,9/23/2019,-73.9693,40.779,good
