station,date,lon,lat,tmpf,relh,sped,p01i,vsby,weather_class
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,8.05,0.0,9.0,good
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,5.75,0.0,9.0,good
jrb,2019-01-02,-74.009,40.7012,38.0,64.49,5.75,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,38.0,62.14,5.75,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,5.75,0.0,10.0,good
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,4.6,0.0,10.0,good
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,6.9,0.0,10.0,good
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,10.35,0.0,10.0,good
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,9.2,0.0,10.0,good
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,8.05,0.0,10.0,good
nyc,2019-01-03,-73.9693,40.779,37.0,56.57,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,38.0,64.49,9.2,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,38.0,54.6,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,39.0,61.78,6.9,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,38.0,59.36,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,40.0,64.49,6.9,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,39.0,61.78,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,40.0,67.45,8.05,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,3.45,0.0,10.0,good
jrb,2019-01-03,-74.009,40.7012,41.0,65.16,5.75,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,40.0,67.45,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,41.0,70.08,4.6,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,41.0,70.08,3.45,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,40.0,69.96,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,41.0,75.33,3.45,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,40.0,76.44,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,41.0,75.94,6.9,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,41.0,80.93,4.6,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,40.0,79.25,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,41.0,79.34,4.6,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,0.0,0.0,10.0,good
nyc,2019-01-03,-73.9693,40.779,40.0,82.8,0.0,0.0,9.0,bad
nyc,2019-01-03,-73.9693,40.779,40.0,82.8,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,42.0,78.8,3.45,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,42.8,75.5,4.6,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,41.0,79.34,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,42.0,78.8,4.6,0.0,10.0,bad
